ID,scaffold_smiles,mean_shap,effect
Train: Pos 188,O=C1C=CCC(C2OCC34CCC5C(CCC6C=CCC(=O)C65)C3CCC24)O1,0.00162785,positive
Train: Pos 189,O=C(CNCc1ccccc1)c1ccccc1,0.001626989,positive
Train: Pos 190,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCC3)ccc1CN1CCNCC1,0.00162398,positive
Train: Pos 191,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCCCCC3)ccc1CN1CCNCC1,0.00162398,positive
Train: Pos 192,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCCCCCCC3)ccc1CN1CCNCC1,0.00162398,positive
Train: Pos 193,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCCCC3)ccc1CN1CCNCC1,0.00162398,positive
Train: Pos 194,O=C1OC2C3OC4CC(c5ccoc5)C=C4C3CC3CCCC1C32,0.001621489,positive
Train: Pos 195,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1,0.001621447,positive
Train: Pos 196,O=C(NN=Cc1ccco1)c1cn(-c2ccccc2)nc1-c1ccccc1,0.001621224,positive
Train: Pos 197,O=c1c2ccccc2oc2cc3c(cc12)C=CCO3,0.001619577,positive
Train: Pos 198,c1cc2c(o1)CC1C(CCC3CCCCC31)C2,0.001619272,positive
Train: Pos 199,O=C1C=CC2C(CCC3C4=CCC(c5ccoc5)C4CCC32)C1,0.001618948,positive
Train: Pos 200,c1cc(Sc2ccncn2)ncn1,0.001618875,positive
Train: Pos 201,O=C1C=CC2C(CCC3C2CCC2C(c4ccoc4)OC(=O)C4OC423)C1,0.001618829,positive
Train: Pos 202,O=C(CC1=CC(=Cc2ccccc2)c2ccccc21)NCCCOc1ccccc1,0.001615727,positive
Train: Pos 203,O=c1c(OCC2CCCCO2)c(-c2ccccc2)oc2ccccc12,0.001615533,positive
Train: Pos 204,O=C(Nc1ccnn1-c1ccccc1)NC1CCC(Oc2ccc3nncn3c2)c2ccccc21,0.001612677,positive
Train: Pos 205,O=c1ccc2c(-c3ccccc3)c3ccccc3oc-2c1,0.001611034,positive
Train: Pos 206,O=C1C=C2C(CCC3C4CCCC=C4C(=O)CC23)C1,0.001610316,positive
