canonical_smiles,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_avg,ID,lipinski_rule_of_five_violations,sa_score,y_pred
COc1ccc(C(=O)CCc2c(OC)cc(O)cc2OC)cc1,0.9999935,1.0,0.99999976,0.9298484,0.7691109,0.9152448,0.9356995600000001,28516,0,1.999039052,1
O=c1ccc2ccccc2o1,0.9996901,0.95666766,0.6193277,0.85872287,0.6669548,0.5456067,0.7744949716666666,29761,0,1.671928221,1
CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC,0.999914,1.0,0.86804324,0.80237246,0.5825158,0.8400523,0.8488163000000001,29811,1,1.759710948,1
COc1ccc(C=CC(=O)c2ccc(OC)cc2O)cc1,0.9999998,1.0,1.0,0.9980781,0.9874076,0.97571415,0.9935332749999999,30158,0,1.854286906,1
COc1ccc2c(ccc3cc(OC)cc(OC)c32)c1,0.9999383,0.9999961,0.9978707,0.9022544,0.66620946,0.8706445,0.9061522433333332,31358,0,1.888225107,1
O=Cc1ccc2c(c1)C(=O)c1ccccc1C2=O,0.5544973,1.0,0.9988778,0.82375044,0.98264307,0.88602644,0.874299175,32241,0,1.942115878,1
COc1ccc(-c2c(OC)cc(-c3ccccc3)c(OC)c2OC)cc1,0.99999475,1.0,1.0,0.96062464,0.8736878,0.9484342,0.9637902316666667,32826,1,1.902956724,1
COc1ccc(CCN(C)C(=O)/C=C/c2ccc(O)cc2)cc1,0.99999976,1.0,0.99993753,0.9885714,0.94524664,0.89654565,0.9717168300000001,33080,0,1.974088649,1
O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)cc1,0.9999998,1.0,1.0,0.99160045,0.9621594,0.942548,0.9827179416666668,33866,0,1.803868412,1
CC(=O)OCC(=O)c1ccc(C)cc1O,0.9999874,0.7102881,0.9978213,0.93256646,0.7042832,0.7346832,0.8466049433333334,34113,0,1.891169273,1
O=C(O)c1c(O)cccc1O,0.9998026,0.97696733,0.9516609,0.594938,0.54794985,0.86542654,0.82279087,34243,0,1.971589726,1
COc1cccc(CCc2cc(OC)c(O)c(OC)c2)c1,0.99999475,0.99999636,0.99999887,0.96799356,0.7655484,0.91931295,0.942140815,34802,0,1.810622238,1
COc1cccc(/C=C/C(=O)O)c1,1.0,1.0,0.9998351,0.9944809,0.9162547,0.92707795,0.9729414416666667,34909,0,1.683320519,1
COc1cc(O)ccc1CCC(=O)c1ccc(O)cc1,0.9999921,0.99999994,1.0,0.9472963,0.6560783,0.9653712,0.9281229733333333,34979,0,1.900507279,1
COc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,0.9999998,1.0,1.0,0.9889656,0.96711135,0.99015856,0.9910392183333333,35097,0,1.969726738,1
COc1cc(CCc2ccc(O)cc2)cc(O)c1OC,0.9999919,1.0,0.9999998,0.9697659,0.8711501,0.97529763,0.9693675549999999,35613,0,1.95327596,1
CCCCCCCCCCCOc1cccc(O)c1,0.99655896,1.0,0.9994797,0.72695845,0.7955908,0.7787768,0.8828941183333333,35815,1,1.745029363,1
CC(=O)c1ccc(O)cc1O,0.99999785,0.8642807,0.99849206,0.96758264,0.7644744,0.9312636,0.9210152083333334,36052,0,1.887586543,1
COc1cc(C(=O)CCO)ccc1O,0.99987286,0.9999992,0.9958686,0.8771203,0.7355394,0.91413623,0.920422765,36622,0,1.908404472,1
COc1ccc2cc(OC)c(=O)oc2c1,0.9974521,0.9999997,0.99586964,0.89372253,0.576073,0.80654687,0.8782773066666666,36792,0,1.978511141,1
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0.99985546,0.9999828,0.9999859,0.95538235,0.5474522,0.94934016,0.9086664783333335,37141,0,1.956015928,1
COc1ccc(C(=O)/C=C/c2ccc(O)cc2)c(OC)c1,0.9999998,1.0,1.0,0.9977145,0.97740835,0.97571415,0.9918061333333332,37579,0,1.889833972,1
COc1cccc(CCC(=O)O)c1,0.99999624,0.99867374,0.64957565,0.89143324,0.58247435,0.6131132,0.7892110699999999,37763,0,1.443662827,1
COc1ccc(O)c(C(C)=O)c1,0.9999991,0.9997917,0.9986167,0.916478,0.69004077,0.837683,0.9071015450000001,38022,0,1.669132427,1
Cc1cc2c(cc1O)C(=O)c1ccccc1C2=O,0.99946594,0.9999881,0.94198555,0.9358409,0.91405964,0.83173054,0.9371784449999999,38105,0,1.980333272,1
COc1cccc2oc(-c3ccccc3)cc(=O)c12,0.9999978,0.99999857,0.99977094,0.9961571,0.7913591,0.9283721,0.9526092683333333,38245,0,1.856538734,1
COc1cc(/C=C/COC(=O)c2ccccc2)ccc1O,0.999993,0.99999803,0.99999887,0.94368315,0.92036945,0.94284105,0.9678139250000001,38492,0,1.904907467,1
Oc1ccc(CCN2CCC(c3ccc(Cl)cc3)CC2)cc1O,0.9997463,1.0,0.9965938,0.6840162,0.798034,0.8968911,0.8958802333333334,38659,0,1.983571941,1
COc1ccc(O)c(C(C)(C)C)c1,0.9999992,0.9999992,0.96591216,0.9646568,0.8515038,0.8879986,0.9450116266666667,39121,0,1.816670519,1
O=C(C=Cc1ccc(O)cc1)OCCc1ccc(O)cc1,0.9999998,1.0,0.9999998,0.9879034,0.9632167,0.9737001,0.9874699666666666,39179,0,1.960132851,1
COc1cc(C(C)C)c(OC)cc1C,0.9999997,0.9999803,0.9855218,0.9773422,0.6623252,0.90323395,0.921400525,39466,0,1.787676843,1
COc1ccc(CCC(=O)c2ccc(O)cc2O)cc1,0.99998575,0.5942829,1.0,0.89079714,0.8283722,0.97970635,0.8821907233333334,39544,0,1.820565521,1
COc1cc2[nH]c3ccccc3c2cc1O,0.9999976,0.99999976,0.98587495,0.96599025,0.9029133,0.87731767,0.9553489216666667,39638,0,1.909225733,1
COc1ccc(CCC(=O)c2ccc(O)cc2)c(O)c1,0.9999961,0.99999994,1.0,0.9332383,0.73485136,0.97077805,0.9398106250000001,40591,0,1.879668817,1
COc1ccc(-c2c(C)c(C)cc3ccc(O)cc23)cc1,0.9999924,0.9999997,0.99912006,0.97135514,0.90677243,0.9188674,0.966017855,40673,0,1.991253529,1
COc1cccc(C(=O)c2ccc(O)cc2O)c1,0.99991345,0.9999631,1.0,0.57101625,0.89314985,0.96604633,0.9050148299999999,40825,0,1.784731426,1
CCCCCCCCCCCCCCCCCCCCCCC(=O)OC,0.999914,1.0,0.86804324,0.80237246,0.5825158,0.8400523,0.8488163000000001,41754,1,1.756382229,1
COc1ccc(-c2cc(=O)c3cc(C)ccc3o2)cc1,0.9999945,0.999986,0.9998433,0.9937923,0.75866634,0.9457961,0.9496797566666667,41977,0,1.823626727,1
COc1ccc(C(=O)O)c(O)c1,0.99971914,0.9965391,0.9986903,0.79033846,0.79920703,0.8758251,0.9100531883333334,42276,0,1.588223292,1
COc1cc(/C=C/c2ccc(OC)c(O)c2)cc(OC)c1,0.9999993,1.0,1.0,0.9852089,0.98119783,0.9797433,0.9910248883333334,42468,0,1.998622499,1
COc1cc(=O)n(C)c2ccccc12,0.9927388,0.9977829,0.7404811,0.8080862,0.59277505,0.6449356,0.796133275,43364,0,1.787041532,1
COc1cc(C)c(OC)c(OC)c1,0.9999983,0.7670674,0.99965566,0.85290456,0.50008124,0.87770516,0.8329020533333332,43527,0,1.647375574,1
