rgroup_label,clean_smi,mean_shap,effect
R8,FC(F)(F)C,8.390739484569453e-05,Positive
R5,CCCCCCOC(=O)N,0.00013037409029463938,Positive
R1,CC(C)(O),7.18438632831335e-05,Positive
R3,CN(C)CCCNC(=O),0.00014786034577736443,Positive
R2,NS(=O)(=O),7.493065405753555e-05,Positive
R6,CC(=O),0.0001058612506045594,Positive
R1,NS(=O)(=O),7.24016648584322e-05,Positive
R1,CC(C)O,5.601633912505699e-05,Positive
R2,CC(C)=CCC/C(C)=C/C,0.00015194740469359885,Positive
R8,CCCCCCCC,0.00010551413511076011,Positive
R6,CC(C)C(=O)NCC,0.00013856131503697097,Positive
R3,CCCN(CCC)S(=O)(=O),0.0001218745975493808,Positive
R4,CCCCC,5.5928992952429295e-05,Positive
R1,O=CC,0.00010106545559880115,Positive
R1,C[C@@H](O)C,5.040484198099058e-05,Positive
R2,CN(C)S(=O)(=O)N,0.00011500087101763594,Positive
R1,CN(C(N)=O),5.920570010858978e-05,Positive
R4,CCCCC(=O)O.O=C(CO),0.00015277109720693885,Positive
R6,CCC(C(=O)OC),0.00011708653482901407,Positive
R8,FC(F)(F),0.0001440370656880847,Positive
R3,OCC(O),0.00012264572793086617,Positive
R3,OC,0.0001078849587387013,Positive
R6,CC(C)(O),5.030162632426798e-05,Positive
R4,NS(=O)(=O),5.875686757942412e-05,Positive
R7,CC(C)(C)NC(=O)C,7.659185741707838e-05,Positive
R5,C=C(C),0.0001417786360006627,Positive
R5,FC(F)(F),0.00013296705372638017,Positive
R2,FC(F)(F),0.00015352471882343658,Positive
R3,NS(=O)(=O),6.0061146571008605e-05,Positive
R6,NS(=O)(=O),8.998965305396088e-05,Positive
R5,FC(F)(F)O,0.00011970989882735799,Positive
R3,CCCCO,6.973149825649594e-05,Positive
R5,CC(C)C,0.00010004693608560124,Positive
R6,CCCCC(=O)NNC(=S)NC(=O),0.00011889043797964258,Positive
R2,CO,0.00010565668108643398,Positive
R5,C=CC,0.00014938410748720812,Positive
R4,CC(C)NC(=O),0.00011431061644362448,Positive
R2,CCCCCC(=O)N/N=C/,7.776980521929148e-05,Positive
R7,CO,0.00010753020874570077,Positive
R4,C=CC,0.00013293854527215063,Positive
R7,C=CC,0.00011723799331153536,Positive
R3,CC(C)CNC(=O)NC(=O)COC(=O)/C=C/,9.051630764367206e-05,Positive
R9,C=CC.C=CC,0.00013297538869267385,Positive
R6,CCCCO,4.836491817153637e-05,Positive
R1,C=CC,0.00011919183742697805,Positive
R1,CCCCCCCCCCCC,9.495344525078893e-05,Positive
R7,CC(C)C,8.988548454532811e-05,Positive
R7,OC/C=C/,7.88250447710431e-05,Positive
R1,CC(=O)N(O)C(=O)/C=C/,7.419221303046417e-05,Positive
R7,FC(F)(F),0.00010635557507888667,Positive
R1,NCCCN,9.510502873076143e-05,Positive
R1,CCCCC,6.763483988538094e-05,Positive
R3,NCC,8.987868722470257e-05,Positive
R9,CCN,8.398040233816999e-05,Positive
R7,CCCCC,7.552181197793985e-05,Positive
R8,CC(C)(C),0.00011698863536182004,Positive
R2,CCCCC,5.1765623878098966e-05,Positive
R6,CC(C)NC(=O),0.00010606734679621005,Positive
R4,OC,0.00010827492455073372,Positive
R5,NC(=O),7.788506252827792e-05,Positive
R8,CO,0.00012399656442133876,Positive
R1,CO,8.381909079816009e-05,Positive
R3,C/C=C/,9.866219802658192e-05,Positive
R3,CC(C)NC(=O),0.00010302997677175474,Positive
R6,OC/C=C/,8.704220712844845e-05,Positive
R1,CC(C)/C=C/,8.154360454700409e-05,Positive
R7,O=[N+]([O-]),0.00011484769151890736,Positive
R3,CC(C)C,9.894003226141969e-05,Positive
R3,CNC(=O)N,4.752454920997807e-05,Positive
R5,C=CCNC(=S)NNC(=O),0.00012973068825992843,Positive
R10,CO,0.00011068515052773278,Positive
R3,COC(=O)C,3.323981307882094e-05,Positive
R2,C/C=C/C#CC#C/C=C/,9.41299278510632e-05,Positive
R1,O=[N+]([O-])/C=C/,7.481927128951484e-05,Positive
R8,CC(CO),8.357556354050672e-05,Positive
R1,NN,8.939413421429822e-05,Positive
R6,OC,9.193547665544768e-05,Positive
R7,CCCCCC,3.6801417056765576e-05,Positive
R5,NS(=O)(=O),4.9855309267842045e-05,Positive
R3,CC(C)(C),8.845213727494598e-05,Positive
R2,C=CCNC(=O)/C=C/,8.36053801549103e-05,Positive
R4,CCCO,8.886649242932892e-05,Positive
R2,CNC(=O)N,4.33706439941919e-05,Positive
R2,CC(C)NC(=O),0.00010593267630511507,Positive
R2,CC(C)NC(=O)COC(=O)/C=C/,6.990923517223804e-05,Positive
R3,CCOC(=O)NC(=O)/C(C#N)=C/,7.068392646811597e-05,Positive
R1,C=C(C)/C=C/,7.988429609789366e-05,Positive
R3,C=CCNC(=S)NNC(=O),0.00011588614918045813,Positive
R1,CCCO,6.54575925915263e-05,Positive
R5,OC,0.00011558621157427367,Positive
R4,NC(=O),8.594115143166871e-05,Positive
R12,O=C(O)C,0.00010272889420844526,Positive
R3,CC(=O)NC,3.217846495308254e-05,Positive
R6,O=C(O)/C=C/,8.672185617704406e-05,Positive
R2,CCCO,8.083932407023238e-05,Positive
R2,O=C(O)CCCNC(=O)/C=C/,6.895412282496063e-05,Positive
R4,CCCCO,5.382741949734706e-05,Positive
